baleia avestruz zangao rato periquito gaviao burro <UNK> cao bem-te-vi morcego urso mula tatu sapo
ema frango egua girafa peixe peixe avestruz bicho-preguica hiena galinha joao-de-barro pavao <UNK> lobo borboleta
<UNK> sabia borboleta pavao burro pulga passaro lagarta anta ema jabuti formiga lontra sabia mosca
aguia aranha lobo ra alfaiate ponei <UNK> onca cachorro formiga bode leoa lobo pombo lagarto
jacare traca ovelha bode andorinha tigre girafa borboleta cabrito zangao quati <UNK> sabia mula bicho-preguica
sabia leao peru pernilongo traca barata ema escorpiao marreco bem-te-vi <UNK> ganso seu bicho-preguica traca
boi escaravelho bode ganso gaviao <UNK> dinossauro pulga garrote cavalo zangao peixe mula golfinho tatu
sapo coelho urubu pato <UNK> garca leoa hipopotamo mico joao-de-barro onca boi borboleta pato jacare
jegue besouro pombo guaxinim canguru elefante cobra barata hiena bicho-do-mato <UNK> hipopotamo aguia garrote urso
onca cobra <UNK> cavalo porco-da-india abelha coruja mico veado pato rinoceronte pernilongo zangao formiga paca
abelha cachorro lobo lagarto capivara crocodilo leao <UNK> elefante bezerro joao-de-barro peixe aranha quati canguru
ema foca rinoceronte macaco burro paca bicho-preguica lobo canario cachorro cabra saracura passaro-preto ganso ganso
ponei foca elefante peixe sapo veado mico papagaio jabuti sapo cobra pato <UNK> traca papagaio
sabia <UNK> andorinha alfaiate barata guaxinim urso andorinha corsa alfaiate joao-de-barro arara carneiro mico bufalo
abelha saracura pomba pato barata escorpiao canario rato ponei carangueijo rinoceronte periquito cabra golfinho golfinho
hiena leao cao bicho-do-mato besouro tubarao vaca <UNK> raposa girafa gamba galinha rinoceronte porco-da-india pomba
besouro andorinha tubarao cabrito <UNK> ra porco-da-india pomba jegue ema mula urso bufalo porco quati
baleia morcego lagartixa raposa arara bicho-do-mato <UNK> lagarta carneiro canguru aguia garca burro borboleta lontra
coruja capivara galo calango <UNK> capivara canguru cabrito canario lagartixa zangao morcego pombo periquito crocodilo
aguia pavao calango pomba mula onca corsa seu pombo elefante rinoceronte <UNK> formiga bicho-do-mato gamba
corsa javali cobra lobo pernilongo gato porco cao burro arara mosca zangao bufalo alfaiate <UNK>
corsa alfaiate alfaiate galinha carneiro <UNK> ovelha pulga touro pernilongo periquito pinto bufalo periquito coruja
cabra sapo paca pato formiga tubarao crocodilo vagalume lontra lagarta <UNK> camelo garca borboleta morcego
escorpiao <UNK> alfaiate pulga traca hipopotamo paca saracura golfinho camelo ema lobo galo passaro-preto passaro
garrote bicho-do-mato elefante javali bode seu jabuti <UNK> bezerro calango coruja egua touro besouro gato
paca sapo frango ra sapo marreco barata frango corsa paca leao pombo tatu borboleta lobo
pernilongo besouro <UNK> papagaio aranha carneiro carneiro ponei urubu anta pomba golfinho jegue peixe ra
<UNK> zebra urso morcego porco marreco piolho vagalume cao macaco galinha besouro ra cao porco-do-mato
corsa tatu ponei hipopotamo cobra cabra garrote cachorro jacare veado bem-te-vi borboleta <UNK> javali raposa
tigre crocodilo jegue rato raposa crocodilo boi capivara tatu golfinho macaco paca golfinho dinossauro mosca
paca mico garrote sabia canario passaro-preto frango abelha cobra guaxinim cabrito aranha aranha boi <UNK>
canguru papagaio besouro sapo tartaruga joao-de-barro corsa canguru ra <UNK> pombo javali gato guaxinim camelo
jacare passaro-preto andorinha egua alfaiate tatu tatu gato <UNK> piolho tatu rato besouro lontra raposa
mula leoa joao-de-barro cabrito bicho-do-mato golfinho boi cachorro <UNK> jegue mico garrote galinha bicho-preguica bode
egua capivara camelo lagarto gato burro <UNK> passaro-preto peru corsa borboleta quati boi pato capivara
galo galo jumento ra porco-da-india garca <UNK> aranha escorpiao barata golfinho rinoceronte peixe cobra cachorro
raposa cavalo ganso besouro carangueijo baleia ra garrote arara escorpiao pombo porco-do-mato porco-da-india joao-de-barro <UNK>
baleia pinto cavalo garca egua tigre <UNK> besouro sapo lontra garca girafa calango cabrito mosca
raposa vaca lontra pato lagartixa barata bufalo frango pavao peixe arara <UNK> guaxinim lagartixa pernilongo
sabia onca camelo coelho alfaiate vaca barata carangueijo cao formiga barata bode gaviao pernilongo joao-de-barro
cavalo barata pombo marreco ganso cabra pulga zangao traca <UNK> rato lontra morcego frango zebra
morcego morcego gato mico garca pombo cao besouro guaxinim crocodilo porco bode vagalume <UNK> quati
porco-da-india ponei traca urso <UNK> gato alfaiate boi peixe pavao burro cavalo bezerro lagarto cavalo
cabrito marreco burro cabra ema gamba coruja foca baleia saracura <UNK> coelho alfaiate saracura porco-da-india
bezerro cao pomba borboleta hiena morcego lagarto garca sabia zebra crocodilo gato onca burro egua
quati seu sapo carneiro alfaiate coruja gamba bicho-preguica abelha urubu javali periquito foca cabrito pombo
cavalo golfinho tubarao avestruz ra escorpiao aranha jacare bezerro abelha alfaiate <UNK> golfinho barata seu
