!SIL 1.0	sil
<UNK> 1.0	spn
cão 1.0	k an un
calango 1.0	k a l an g u
jumento 1.0	j u m en t u
pássaro 1.0	p a s a r u
gato 1.0	g a t u
urso  1.0	u r s u
bicho-do-mato 1.0	b i sh u d u m a t u
mula 1.0	m u l a
morcego 1.0	m o r s e g u
bode 1.0	b oh dj i
corsa  1.0	k oh r s a
pato 1.0	p a t u
garrote 1.0	g a rr oh ch i
tamandua 1.0	t a m an d u a
peixe 1.0	p e y sh i
peixe 1.0	p e sh i
camelo 1.0	k a m e l u
coelho 1.0	k o e lh u
abelha 1.0	a b e lh a
canario 1.0	k a n a r i u
marreco 1.0	m a rr eh k u
gaviao 1.0	g a v i an un
cabrito 1.0	k a b r i t u
pernilongo 1.0	p e r n i l on g u
jabuti 1.0	j a b u ch i
cavalo 1.0	k a v a l u
cabra 1.0	k a b r a
bem-te-vi 1.0	b en ch i v i
peru 1.0	p e r u
periquito 1.0	p e r i k i t u
porco-da-india 1.0	p o r k u d a in dj i a
barata 1.0	b a r a t a
rã 1.0	rr a
javali 1.0	j a v a l i
porco-do-mato 1.0	p o r k u d u m a t u
mico 1.0	m i k o
sabia 1.0	s a b i a
escorpiao 1.0	e s k o r p i an un   
leao 1.0	l e an un
canguru 1.0	k an g u r u
lontra 1.0	l on t r a
raposa 1.0	r a p o z a
boi 1.0	b o i
tigre 1.0	ch i g r e
carneiro 1.0	k a r n e i r u
foca 1.0	f oh k a
girafa 1.0	j i r a f a
pássaro-preto 1.0	p a s a r o p r e t u
egua 1.0	eh g wa
crocodilo 1.0	k r u k o dj i l u
touro 1.0	t ou r u
carangueijo 1.0	k a r an g e i j u 
papagaio 1.0	p a p a g a i o
macaco 1.0	m a k a k u
galo 1.0	g a l u
paca 1.0	p a k a
avestruz 1.0	a v e s t r u s
sapo 1.0	s a p u
ganso 1.0	g an s u
gamba 1.0	g an b a
hipopotamo 1.0	i p o p oh t a m u
tubarao 1.0	t u b a r an un 
porco 1.0	p o r k u
saracura 1.0	s a r a k u r a
quati 1.0	k wa ch i
burro 1.0	b u rr u
lagarto 1.0	l a g a r t u
coruja 1.0	k o r u j a 
guaxinim 1.0	g wa sh i n in
lagarta 1.0	l a g a r t a
pavao 1.0	p a v an un
aguia 1.0	a g i a
elefante 1.0	e l e f an ch i
ema 1.0	e m a
onca 1.0	on s a
baleia 1.0	b a l e i a
dinossauro 1.0	dj i n o s aw r u
leoa 1.0	l e o a
veado 1.0	v e a d u
zebra 1.0	z e b r a
formiga 1.0	f o r m i g a
rinoceronte 1.0	r i n o s e r on ch i
pinto 1.0	p in t u
anta 1.0	an t a 
bufalo 1.0	b u f a l u 
hiena 1.0	i e n a
mosca 1.0	m o s k a 
jegue 1.0	j eh g e
arara 1.0	a r a r a
joao-de-barro 1.0	j o an un dj i b a rr o
pulga 1.0	p ul g a
piolho 1.0	p i o lh u
galinha 1.0	g a l i nh a
tatu 1.0	t a t u
borboleta 1.0	b o r b o l e t a
cachorro 1.0	k a sh o rr o
capivara 1.0	k a p i v a r a
lobo 1.0	l o b o
aranha 1.0	a r a nh a
bezerro 1.0	b e z e rr o
jacare 1.0	j a k a r eh
tartaruga 1.0	t a r t a r u g a
ponei 1.0	p o n e i
golfinho 1.0	g ol f i nh o
lagartixa 1.0	l a g a r ch i sh a
urubu 1.0	u r u b u
andorinha 1.0	an d o r i nh a
ovelha 1.0	o v e lh a
besouro 1.0	b e z ou r u
garca 1.0	g a r s a
bicho-preguica 1.0	b i sh u p r e g i s a
cobra 1.0	k oh b r a
vaca 1.0	v a k a
pomba 1.0	p on b a
rato 1.0	rr a t u
seu 1.0	s e u
pombo 1.0	p on b u
zangao 1.0	z an g am un
vagalume 1.0	v a g a l u m e
alfaiate 1.0	al f a i a ch i
alfaiate 1.0	al f a i a t e
escaravelho 1.0	e s k a r a v e lh o 
borboleta 1.0	b o r b o l e t a 
traca 1.0	t r a s a
frango 1.0	f r an g u
