# gunzip -c exp/mono/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Wed Jun 22 13:39:39 BRT 2016
#
analyze_phone_lengths.py: WARNING: optional-silence sil is seen only 54.7231270358% of the time at utterance end.  This may not be optimal.
At utterance begin, sil accounts for 98.7% of phone occurrences, with duration (median, mean, 95-percentile) is (135,132.2,184) frames.
At utterance begin, nonsilence accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (144,150.2,146) frames.
At utterance begin, k_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (144,154.7,146) frames.
At utterance end, sil accounts for 54.7% of phone occurrences, with duration (median, mean, 95-percentile) is (21,38.9,86) frames.
At utterance end, nonsilence accounts for 45.3% of phone occurrences, with duration (median, mean, 95-percentile) is (3,5.7,16) frames.
At utterance end, u_E accounts for 15.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.3,10) frames.
At utterance end, a_E accounts for 13.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,6.1,21) frames.
At utterance end, i_E accounts for 7.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,6.3,13) frames.
At utterance end, un_E accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.3,6) frames.
At utterance end, o_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.8,3) frames.
At utterance end, al_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,9.3,8) frames.
At utterance end, e_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance end, r_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.0,9) frames.
At utterance end, s_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (13,16.5,13) frames.
Overall, nonsilence accounts for 86.3% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.0,21) frames.
Overall, sil accounts for 13.7% of phone occurrences, with duration (median, mean, 95-percentile) is (50,55.1,120) frames.
Overall, a_I accounts for 8.3% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.4,21) frames.
Overall, r_I accounts for 6.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.6,9) frames.
Overall, a_E accounts for 5.4% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.8,21) frames.
Overall, i_I accounts for 5.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.9,20) frames.
Overall, u_E accounts for 4.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.1,21) frames.
Overall, o_I accounts for 3.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.3,18) frames.
Overall, e_I accounts for 3.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.5,18) frames.
Overall, u_I accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.2,17) frames.
Overall, t_I accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.6,16) frames.
Overall, k_B accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.6,11) frames.
Overall, g_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.7,11) frames.
Overall, k_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.7,12) frames.
