# gunzip -c exp/nnet4a/decode/depth_stats_tmp.*.gz | steps/diagnostic/analyze_lattice_depth_stats.py exp/tri3c/graph 
# Started at Tue Aug  2 17:46:59 BRT 2016
#
The total amount of data analyzed assuming 100 frames per second is 0.0 hours
Overall, lattice depth (10,50,90-percentile)=(1,1,10) and mean=2.9
Phone sil accounts for 69.4% of frames, with lattice depth (10,50,90-percentile)=(1,1,11) and mean=3.5
Nonsilence phones as a group account for 30.2% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.5
Phone a_I accounts for 3.3% of frames, with lattice depth (10,50,90-percentile)=(1,2,5) and mean=2.3
Phone a_E accounts for 1.9% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.1
Phone i_I accounts for 1.7% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.2
Phone u_E accounts for 1.6% of frames, with lattice depth (10,50,90-percentile)=(1,2,5) and mean=2.4
Phone e_I accounts for 1.6% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.4
Phone k_B accounts for 1.4% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.5
Phone r_I accounts for 1.2% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.5
Phone o_I accounts for 1.0% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.2
Phone l_I accounts for 0.9% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.2
Phone u_I accounts for 0.9% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone s_I accounts for 0.8% of frames, with lattice depth (10,50,90-percentile)=(1,2,10) and mean=4.5
Phone t_I accounts for 0.8% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.6
Phone k_I accounts for 0.7% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.2
Phone un_E accounts for 0.7% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.3
Phone oh_I accounts for 0.6% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone nh_I accounts for 0.6% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone m_I accounts for 0.5% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.3
Phone ol_I accounts for 0.5% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone g_I accounts for 0.5% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.3
Phone ol_E accounts for 0.5% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
# Accounting: time=0 threads=1
# Ended (code 0) at Tue Aug  2 17:46:59 BRT 2016, elapsed time 0 seconds
