# gunzip -c exp/sgmm2_4c/decode_fmllr/depth_stats_tmp.*.gz | steps/diagnostic/analyze_lattice_depth_stats.py exp/sgmm2_4c/graph 
# Started at Tue Jun 28 15:15:55 BRT 2016
#
The total amount of data analyzed assuming 100 frames per second is 0.0 hours
Overall, lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.2
Phone sil accounts for 56.2% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.3
Nonsilence phones as a group account for 43.8% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone a_I accounts for 10.2% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone t_I accounts for 10.2% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone u_E accounts for 6.5% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone o_I accounts for 2.8% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone o_E accounts for 2.7% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone sh_I accounts for 2.7% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone g_B accounts for 2.5% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone rr_B accounts for 2.5% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone k_B accounts for 1.5% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone rr_I accounts for 1.5% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone p_B accounts for 0.8% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
# Accounting: time=0 threads=1
# Ended (code 0) at Tue Jun 28 15:15:55 BRT 2016, elapsed time 0 seconds
