# build-tree --verbose=1 --max-leaves=2000 --cluster-thresh=-1 exp/tri1/treeacc data/lang/phones/roots.int exp/tri1/questions.qst data/lang/topo exp/tri1/tree 
# Started at Tue Aug  2 15:50:52 BRT 2016
#
build-tree --verbose=1 --max-leaves=2000 --cluster-thresh=-1 exp/tri1/treeacc data/lang/phones/roots.int exp/tri1/questions.qst data/lang/topo exp/tri1/tree 
LOG (build-tree:main():build-tree.cc:100) Number of separate statistics is 5816
LOG (build-tree:BuildTree():build-tree.cc:159) BuildTree: before building trees, map has 46 leaves.
LOG (build-tree:SplitDecisionTree():build-tree-utils.cc:577) DoDecisionTreeSplit: split 1737 times, #leaves now 1783
LOG (build-tree:BuildTree():build-tree.cc:185) Setting clustering threshold to smallest split 300.227
VLOG[1] (build-tree:BuildTree():build-tree.cc:194) After decision tree split, num-leaves = 1783, like-impr = 4.89783 per frame over 794250 frames.
VLOG[1] (build-tree:BuildTree():build-tree.cc:198) Including just phones that were split, improvement is 4.89783 per frame over 794250 frames.
LOG (build-tree:BuildTree():build-tree.cc:213) BuildTree: removed 394 leaves.
VLOG[1] (build-tree:BuildTree():build-tree.cc:220) Objf change due to clustering -0.110021 per frame.
VLOG[1] (build-tree:BuildTree():build-tree.cc:223) Normalizing over only split phones, this is: -0.110021 per frame.
VLOG[1] (build-tree:BuildTree():build-tree.cc:226) Num-leaves is now 1389
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 1, low count 0
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 6, low count 45
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 9, low count 92
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 13, low count 43
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 18, low count 88
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 30, low count 89
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 31, low count 68
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 35, low count 44
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 37, low count 85
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 43, low count 98
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 56, low count 83
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 58, low count 87
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 75, low count 79
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 78, low count 49
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 81, low count 95
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 87, low count 93
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 88, low count 66
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 91, low count 62
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 117, low count 72
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 119, low count 48
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 154, low count 67
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 168, low count 69
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 169, low count 79
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 172, low count 89
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 185, low count 53
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 192, low count 47
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 218, low count 80
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 227, low count 57
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 233, low count 87
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 238, low count 65
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 239, low count 88
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 246, low count 67
