# gunzip -c exp/tri2b_ali/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Tue Aug  2 15:57:46 BRT 2016
#
analyze_phone_lengths.py: WARNING: optional-silence sil is seen only 61.9585687382% of the time at utterance end.  This may not be optimal.
At utterance begin, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (127,127.6,185) frames.
At utterance end, sil accounts for 62.0% of phone occurrences, with duration (median, mean, 95-percentile) is (33,52.7,166) frames.
At utterance end, nonsilence accounts for 38.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,6.3,18) frames.
At utterance end, a_E accounts for 13.2% of phone occurrences, with duration (median, mean, 95-percentile) is (3,6.2,18) frames.
At utterance end, u_E accounts for 12.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,5.4,15) frames.
At utterance end, i_E accounts for 5.3% of phone occurrences, with duration (median, mean, 95-percentile) is (3,5.8,14) frames.
At utterance end, un_E accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (4,7.5,15) frames.
At utterance end, o_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (3,5.6,10) frames.
At utterance end, al_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,10.0,11) frames.
At utterance end, r_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,9.7,8) frames.
At utterance end, s_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (13,18.0,20) frames.
Overall, nonsilence accounts for 86.1% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.0,22) frames.
Overall, sil accounts for 13.9% of phone occurrences, with duration (median, mean, 95-percentile) is (40,47.3,124) frames.
Overall, a_I accounts for 8.4% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.0,22) frames.
Overall, r_I accounts for 6.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.2,11) frames.
Overall, a_E accounts for 5.4% of phone occurrences, with duration (median, mean, 95-percentile) is (11,13.2,31) frames.
Overall, i_I accounts for 4.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.8,19) frames.
Overall, u_E accounts for 4.2% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.0,26) frames.
Overall, e_I accounts for 3.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.8,20) frames.
Overall, o_I accounts for 3.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.5,18) frames.
Overall, u_I accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.2,16) frames.
Overall, t_I accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,14) frames.
Overall, k_B accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.3,11) frames.
Overall, g_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.2,10) frames.
Overall, l_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.8,14) frames.
Overall, k_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.6,13) frames.
Overall, s_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.9,21) frames.
Overall, p_B accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.6,9) frames.
Overall, p_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.7,14) frames.
Overall, an_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.0,21) frames.
