# build-tree --verbose=1 --max-leaves=1800 --cluster-thresh=-1 exp/tri3b/treeacc data/lang/phones/roots.int exp/tri3b/questions.qst data/lang/topo exp/tri3b/tree 
# Started at Tue Aug  2 15:57:57 BRT 2016
#
build-tree --verbose=1 --max-leaves=1800 --cluster-thresh=-1 exp/tri3b/treeacc data/lang/phones/roots.int exp/tri3b/questions.qst data/lang/topo exp/tri3b/tree 
LOG (build-tree:main():build-tree.cc:100) Number of separate statistics is 5681
LOG (build-tree:BuildTree():build-tree.cc:159) BuildTree: before building trees, map has 46 leaves.
LOG (build-tree:SplitDecisionTree():build-tree-utils.cc:577) DoDecisionTreeSplit: split 1754 times, #leaves now 1800
LOG (build-tree:BuildTree():build-tree.cc:185) Setting clustering threshold to smallest split 487.063
VLOG[1] (build-tree:BuildTree():build-tree.cc:194) After decision tree split, num-leaves = 1800, like-impr = 7.34264 per frame over 790469 frames.
VLOG[1] (build-tree:BuildTree():build-tree.cc:198) Including just phones that were split, improvement is 7.34264 per frame over 790469 frames.
LOG (build-tree:BuildTree():build-tree.cc:213) BuildTree: removed 281 leaves.
VLOG[1] (build-tree:BuildTree():build-tree.cc:220) Objf change due to clustering -0.121917 per frame.
VLOG[1] (build-tree:BuildTree():build-tree.cc:223) Normalizing over only split phones, this is: -0.121917 per frame.
VLOG[1] (build-tree:BuildTree():build-tree.cc:226) Num-leaves is now 1519
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 1, low count 0
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 6, low count 51
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 13, low count 61
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 18, low count 75
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 31, low count 44
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 44, low count 78
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 115, low count 47
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 142, low count 98
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 145, low count 56
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 163, low count 63
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 164, low count 87
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 167, low count 68
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 187, low count 80
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 202, low count 52
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 204, low count 95
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 205, low count 85
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 220, low count 89
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 221, low count 82
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 222, low count 41
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 231, low count 63
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 244, low count 98
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 267, low count 94
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 279, low count 87
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 283, low count 77
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 337, low count 55
