# gunzip -c exp/tri3b_ali/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Wed Jun 22 13:56:29 BRT 2016
#
analyze_phone_lengths.py: WARNING: optional-silence sil is seen only 51.9867549669% of the time at utterance end.  This may not be optimal.
At utterance begin, sil accounts for 98.7% of phone occurrences, with duration (median, mean, 95-percentile) is (134,131.8,183) frames.
At utterance begin, nonsilence accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (143,148.8,144) frames.
At utterance begin, k_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (143,152.7,144) frames.
At utterance end, sil accounts for 52.0% of phone occurrences, with duration (median, mean, 95-percentile) is (17,29.5,79) frames.
At utterance end, nonsilence accounts for 48.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,5.9,16) frames.
At utterance end, u_E accounts for 15.9% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.2,11) frames.
At utterance end, a_E accounts for 15.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,6.7,21) frames.
At utterance end, i_E accounts for 6.3% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.5,6) frames.
At utterance end, un_E accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.9,6) frames.
At utterance end, al_E accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,16.8,23) frames.
At utterance end, o_E accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,5.2,6) frames.
At utterance end, e_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (3,5.8,3) frames.
At utterance end, r_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,12.0,10) frames.
At utterance end, s_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (13,16.5,13) frames.
Overall, nonsilence accounts for 86.3% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.4,23) frames.
Overall, sil accounts for 13.7% of phone occurrences, with duration (median, mean, 95-percentile) is (41,47.1,117) frames.
Overall, a_I accounts for 8.3% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.9,19) frames.
Overall, r_I accounts for 6.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.2,10) frames.
Overall, a_E accounts for 5.4% of phone occurrences, with duration (median, mean, 95-percentile) is (13,15.0,31) frames.
Overall, i_I accounts for 5.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.7,19) frames.
