# gunzip -c /home/nlpserver/zzilong/kaldi/egs/animal/exp/tri3c/decode_2fmllr.si/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py /home/nlpserver/zzilong/kaldi/egs/animal/exp/tri3c/graph 
# Started at Mon Jul 18 14:57:47 BRT 2016
#
At utterance begin, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (132,132.0,132) frames.
At utterance end, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (81,81.0,81) frames.
Overall, nonsilence accounts for 79.5% of phone occurrences, with duration (median, mean, 95-percentile) is (10,12.7,26) frames.
Overall, sil accounts for 17.9% of phone occurrences, with duration (median, mean, 95-percentile) is (133,156.4,292) frames.
Overall, a_I accounts for 9.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,13.3,22) frames.
Overall, u_E accounts for 5.1% of phone occurrences, with duration (median, mean, 95-percentile) is (16,20.2,26) frames.
Overall, a_E accounts for 4.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,12.6,23) frames.
Overall, r_I accounts for 4.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,4.9,5) frames.
Overall, i_I accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.2,15) frames.
Overall, l_I accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.7,9) frames.
Overall, o_I accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.5,18) frames.
Overall, e_I accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,10.8,17) frames.
Overall, t_I accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (3,9.0,13) frames.
Overall, spn_S accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,31.5,21) frames.
Overall, g_B accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.2,6) frames.
