# build-tree --verbose=1 --max-leaves=1800 --cluster-thresh=-1 exp/tri3c/treeacc data/lang/phones/roots.int exp/tri3c/questions.qst data/lang/topo exp/tri3c/tree 
# Started at Tue Aug  2 16:03:05 BRT 2016
#
build-tree --verbose=1 --max-leaves=1800 --cluster-thresh=-1 exp/tri3c/treeacc data/lang/phones/roots.int exp/tri3c/questions.qst data/lang/topo exp/tri3c/tree 
LOG (build-tree:main():build-tree.cc:100) Number of separate statistics is 5687
LOG (build-tree:BuildTree():build-tree.cc:159) BuildTree: before building trees, map has 46 leaves.
LOG (build-tree:SplitDecisionTree():build-tree-utils.cc:577) DoDecisionTreeSplit: split 1754 times, #leaves now 1800
LOG (build-tree:BuildTree():build-tree.cc:185) Setting clustering threshold to smallest split 478.984
VLOG[1] (build-tree:BuildTree():build-tree.cc:194) After decision tree split, num-leaves = 1800, like-impr = 6.97937 per frame over 788946 frames.
VLOG[1] (build-tree:BuildTree():build-tree.cc:198) Including just phones that were split, improvement is 6.97937 per frame over 788946 frames.
LOG (build-tree:BuildTree():build-tree.cc:213) BuildTree: removed 264 leaves.
VLOG[1] (build-tree:BuildTree():build-tree.cc:220) Objf change due to clustering -0.110831 per frame.
VLOG[1] (build-tree:BuildTree():build-tree.cc:223) Normalizing over only split phones, this is: -0.110831 per frame.
VLOG[1] (build-tree:BuildTree():build-tree.cc:226) Num-leaves is now 1536
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 1, low count 0
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 6, low count 54
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 13, low count 60
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 18, low count 75
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 26, low count 92
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 31, low count 45
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 37, low count 46
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 44, low count 76
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 54, low count 67
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 88, low count 98
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 96, low count 63
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 105, low count 89
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 108, low count 95
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 119, low count 47
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 127, low count 92
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 158, low count 50
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 164, low count 71
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 171, low count 81
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 198, low count 96
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 205, low count 78
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 208, low count 83
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 220, low count 88
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 234, low count 96
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 264, low count 93
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 270, low count 99
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 297, low count 54
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 301, low count 64
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 310, low count 55
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 313, low count 78
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 320, low count 86
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 327, low count 64
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 347, low count 76
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 349, low count 75
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 361, low count 80
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 382, low count 96
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 390, low count 56
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 408, low count 75
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 423, low count 62
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 428, low count 78
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 431, low count 78
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 440, low count 77
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 452, low count 54
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 463, low count 55
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 472, low count 97
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 476, low count 75
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 497, low count 74
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 504, low count 96
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 511, low count 47
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 513, low count 75
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 514, low count 93
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 522, low count 29
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 523, low count 74
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 538, low count 99
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 566, low count 84
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 584, low count 63
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 586, low count 33
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 596, low count 94
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 602, low count 46
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 607, low count 72
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 627, low count 74
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 632, low count 96
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 634, low count 41
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 637, low count 62
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 640, low count 82
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 641, low count 92
