# gunzip -c exp/tri3c_ali/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Tue Aug  2 16:11:20 BRT 2016
#
analyze_phone_lengths.py: WARNING: optional-silence sil is seen only 59.2803030303% of the time at utterance end.  This may not be optimal.
At utterance begin, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (126,127.3,184) frames.
At utterance end, sil accounts for 59.3% of phone occurrences, with duration (median, mean, 95-percentile) is (34,53.7,166) frames.
At utterance end, nonsilence accounts for 40.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,7.0,18) frames.
At utterance end, u_E accounts for 15.2% of phone occurrences, with duration (median, mean, 95-percentile) is (3,7.0,17) frames.
At utterance end, a_E accounts for 13.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,6.4,18) frames.
At utterance end, i_E accounts for 5.3% of phone occurrences, with duration (median, mean, 95-percentile) is (3,5.8,15) frames.
At utterance end, un_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.9,15) frames.
At utterance end, o_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,6.4,11) frames.
At utterance end, r_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,9.3,8) frames.
At utterance end, s_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (13,17.7,20) frames.
Overall, nonsilence accounts for 86.2% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.3,23) frames.
Overall, sil accounts for 13.8% of phone occurrences, with duration (median, mean, 95-percentile) is (39,45.8,123) frames.
Overall, a_I accounts for 8.4% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.0,22) frames.
Overall, r_I accounts for 6.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.4,11) frames.
Overall, a_E accounts for 5.4% of phone occurrences, with duration (median, mean, 95-percentile) is (13,14.9,33) frames.
Overall, i_I accounts for 4.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.9,19) frames.
Overall, u_E accounts for 4.2% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.4,27) frames.
Overall, e_I accounts for 3.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.8,19) frames.
