!SIL 1.0	sil
<UNK> 1.0	spn
<hesitation> 1.0	an
<hesitation> 1.0	en
<cough> 1.0	k k
Ajax 1.0	a j a k s
CD 1.0	s e d e
Coca-Cola 1.0	k oh k a k oh l a
Danone 1.0	d a n o n i
ODD 1.0	o d e d e
OMO 1.0	o m o
TV 1.0	t e v e
abacate 1.0	a b a k a ch i
abacaxi 1.0	a b a k a sh i
abobora 1.0	a b oh b o r a
abobrinha 1.0	a b oh b r i nh a
absorvente 1.0	a b s o r v en ch i
acelga 1.0	a s el g a
achocolatado 1.0	a sh o k o l a t a d o
acucar 1.0	a s u k a r
acucar-organico 1.0	a s u k a r o r g an n i k u
acucar-refinado 1.0	a s u k a r rr e f i n a d u
adocante 1.0	a d o s an ch i
agriao 1.0	a g r i am un
agua 1.0	a g w a
agua-mineral 1.0	a g w a m i n e r al
agua-sanitaria 1.0	a g w a s an n i t a r i a
alcatra 1.0	al k a t r a
alcool 1.0	al k ol
alface 1.0	al f a s e
algodao 1.0	al g o d am un
alho 1.0	a lh o
alho-poro 1.0	a lh o p o r o
aliche 1.0	a l i sh i
alimentos 1.0	a l i m en t u s
almeirao 1.0	al m e y r am un
alvejante 1.0	al v e j an ch i
amaciante 1.0	a m a s i an ch i
ameixa 1.0	a m e y sh a
amendoim 1.0	a m en d o in
aparelho-de-barbear 1.0	a p a r e lh o dj i b a r b i a r
arbustos 1.0	a r b u s t u s
arroz 1.0	a rr o s
artigos-de-limpeza 1.0	a r ch i g o s dj i l in p e z a
artigos-domesticos 1.0	a r ch i g o s d o m eh s ch i k u s
artigos-escolares 1.0	a r ch i g o s e s k o l a r e s
atum 1.0	a t un
aveia 1.0	a v e y a
aves 1.0	a v i s
azeite 1.0	a z e y ch i
azeitona 1.0	a z e y t o n a
azeitonas 1.0	a z e y t o n a s
acucar-cristal 1.0	a s u k a r k r i s t al
acucar-mascavo 1.0	a s u k a r m a s k a v u 
acucar-demerara 1.0	a s u k a r d e m e r a r a
bacalhau 1.0	b a k a lh a u
bacon 1.0	b e y k on
bala 1.0	b a l a 
balas 1.0	b a l a s
banana 1.0	b a n a n a 
barraca-de-praia 1.0	b a rr a k a dj i p r a i a 
batata 1.0	b a t a t a 
batata-baroa 1.0	b a t a t a b a r o a 
batata-doce 1.0	b a t a t a d o s e
batata-inglesa 1.0	b a t a t a in g l e s a
batatinha 1.0	b a t a ch i nh a
batedeira 1.0	b a t e d e y r a
bebida 1.0	b e b i d a
bebida-alcolica 1.0	b e b i d a al k oh l i k a
bebida-alcolica 1.0	b e b i d al k oh l i k a
bebidas-alcolicas 1.0	b e b i d a s al k oh l i k a s
bebidas 1.0	b e b i d a s
bebidas-em-caixinha 1.0	b e b i d a s in k a y sh i nh a
beringela 1.0	b e r in j e l a
bermuda 1.0	b e r m u d a
beterraba 1.0	b e t e rr a b a
bicicleta 1.0	b i s i k l e t a
biscoito 1.0	b i s k o y t o
biscoito-doce 1.0	b i s k o y t o
biscoito-sem-recheio 1.0	b i s k o y t o s en rr e sh e y o
biscoitos 1.0	b i s k o y t o s
bofe 1.0	b oh f e
bolacha 1.0	b o l a sh a
bolachas 1.0	b o l a sh a s
bolo 1.0	b o l o
bolo-de-caixinha 1.0	b o l o dj i k a y sh i nh a
bolo-integral 1.0	b o l o in t e g r al
bolsa 1.0	b ol s a
bombom 1.0	b on b on
bombril 1.0	b on b r il
brinquedo 1.0	b r in k e d u
brinquedos 1.0	b r in k e d u s
brioche 1.0	b r i oh sh i
brocoli 1.0	b r oh k o l i
brocolis 1.0	b r oh k o l i s
bucha 1.0	b u sh a
bucho 1.0	b u sh o
cachaça 1.0	k a sh a s a
cadeira 1.0	k a d e y r a
cadeira-de-praia 1.0	k a d e y r a dj i p r a y a
cafe 1.0	k a f eh
caixa-de-fosforo 1.0	k a y sh a dj i f oh s f o r u
calabresa 1.0	k a l a b r e z a
calca 1.0	k al s a
calcados 1.0	k al s a d u s
caldo-Knorr 1.0	k al d u k i n oh r
calcado 1.0	k al s a d u
camarao 1.0	k a m a r am un
camisa 1.0	k a m i s a
candida 1.0	k an dj i d a
caneta 1.0	k a n e t a 
canjica 1.0	k an j i k a 
capeleti 1.0	k a p e l eh ch i
caqui 1.0	k a k i
carne 1.0	k a r n i
carne-bovina 1.0	k a r n i b o v i n a
carne-de-cabrito 1.0	k a r n i dj i k a b r i t u
carne-de-frango 1.0	k a r n i dj i f r an g u
carne-de-porco 1.0	k a r n i dj i p o r k u
carne-de-vaca 1.0	k a r n i dj i v a k a
carne-seca 1.0	k a r n i s e k a
carne-suina 1.0	k a r n i s u y n a
carne-de-peru 1.0	k a r n i dj i p e r u
carne-de-peru 1.0	k a r n i dj i p i r u
carnes 1.0	k a r n i s
carvao 1.0	k a r v am un
cara 1.0	k a r a 
catalonia 1.0	k a t a l on y a
cavadinho 1.0	k a v a dj i nh u
cebola 1.0	s e b o l a 
cebolinha 1.0	s e b o l i nh a
celular 1.0	s e l u l a r
cenoura 1.0	s e n o r a
cenoura 1.0	s e n o w r a
cera 1.0	s e r a
cereais 1.0	s e r e a y s
cereal 1.0	s e r e al
cereal 1.0	s e r y al
cereja 1.0	s e r e j a
cerveja 1.0	s e r v e j a
cevada 1.0	s e v a d a
cha 1.0	sh a
cheiro-verde 1.0	sh e y r u v e r dj i
chicorea 1.0	sh i k oh r y a
chinelo 1.0	sh i n eh l u
chinelos 1.0	sh i n eh l u s
chocolate 1.0	sh o k o l a ch i
chocolates 1.0	sh o k o l a ch i s
chorico 1.0	sh o r i s u
chuchu 1.0	sh u sh u
chuleta 1.0	sh u l e t a
cha-mate 1.0	sh a m a t e
chas 1.0	sh a s
cloro 1.0	k l oh r o
coador 1.0	k o a d o r
coador-de-cafe 1.0	k o a d o r dj i k a f eh
coalhada 1.0	k o a lh a d a
cobertor 1.0	k o b e r t o r
coca-cola 1.0	k oh k a k oh l a
coco 1.0	k o k o
coco-ralado 1.0	k o k o rr a l a d o
coentro 1.0	k o en t r u
cogumelo 1.0	k o g u m e l u
cola 1.0	k oh l a
colchao 1.0	k o l sh am un
colchonete 1.0	k o l sh o n eh ch i
colher 1.0	k o lh e r
colorau 1.0	k o l o r al
comida 1.0	k o m i d a
