# Running on red-black-tea
# Started at Mon Jul 18 17:10:08 BRT 2016
# gunzip -c exp/nnet4a/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/tri3c/graph 
At utterance begin, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (76,108.7,96) frames.
At utterance end, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (39,150.0,193) frames.
Overall, nonsilence accounts for 84.2% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.5,24) frames.
Overall, sil accounts for 14.7% of phone occurrences, with duration (median, mean, 95-percentile) is (83,136.9,442) frames.
Overall, a_I accounts for 7.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.8,17) frames.
Overall, o_I accounts for 5.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.4,18) frames.
Overall, e_I accounts for 4.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.6,12) frames.
Overall, i_I accounts for 3.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.3,11) frames.
Overall, i_E accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (11,13.9,23) frames.
Overall, r_I accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.6,14) frames.
Overall, a_E accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (13,14.1,32) frames.
Overall, ch_I accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (16,18.2,24) frames.
Overall, t_I accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.5,14) frames.
Overall, u_E accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.7,18) frames.
Overall, u_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.2,12) frames.
Overall, k_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.4,10) frames.
Overall, s_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (13,16.7,27) frames.
Overall, y_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (14,11.8,17) frames.
Overall, dj_I accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.8,9) frames.
Overall, k_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.5,13) frames.
