# gunzip -c exp/sgmm2_4c/decode_fmllr/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/sgmm2_4c/graph 
# Started at Tue Jul  5 11:59:47 BRT 2016
#
At utterance begin, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (87,113.3,99) frames.
At utterance end, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (32,147.0,183) frames.
Overall, nonsilence accounts for 85.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.1,23) frames.
Overall, sil accounts for 14.1% of phone occurrences, with duration (median, mean, 95-percentile) is (99,154.5,348) frames.
Overall, a_I accounts for 7.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.5,18) frames.
Overall, o_I accounts for 5.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.0,17) frames.
Overall, e_I accounts for 4.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.0,15) frames.
Overall, i_I accounts for 4.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.5,13) frames.
Overall, i_E accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (11,13.8,23) frames.
Overall, r_I accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.2,10) frames.
Overall, ch_I accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (18,17.6,22) frames.
Overall, a_E accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.6,16) frames.
Overall, t_I accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.9,17) frames.
Overall, u_E accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.2,17) frames.
Overall, s_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (13,16.7,25) frames.
Overall, dj_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.5,11) frames.
Overall, k_B accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.1,12) frames.
Overall, k_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.3,10) frames.
Overall, y_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (13,11.5,16) frames.
Overall, m_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.2,12) frames.
Overall, a_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.8,18) frames.
Overall, p_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.0,12) frames.
Overall, u_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.8,10) frames.
Overall, d_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.5,6) frames.
Overall, j_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.4,14) frames.
Overall, en_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (17,17.1,20) frames.
Overall, l_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.7,10) frames.
Overall, m_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.6,17) frames.
Overall, am_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.0,5) frames.
Overall, b_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.3,10) frames.
Overall, f_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (18,16.5,19) frames.
Overall, f_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (16,15.8,17) frames.
Overall, n_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.0,10) frames.
Overall, o_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,11.2,20) frames.
Overall, p_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.7,6) frames.
Overall, s_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (17,24.2,26) frames.
Overall, s_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (29,30.5,32) frames.
Overall, un_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (24,28.5,35) frames.
Overall, v_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.7,11) frames.
Overall, g_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.6,10) frames.
Overall, lh_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.8,6) frames.
Overall, an_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (13,15.8,17) frames.
Overall, an_S accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,35.5,41) frames.
Overall, o_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (21,20.8,22) frames.
Overall, rr_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,5.0,5) frames.
Overall, t_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.5,8) frames.
The optional-silence phone sil occupies 69.7% of frames overall 
Limiting the stats to the 95.9% of frames not covered by an utterance-[begin/end] phone, optional-silence sil occupies 68.4% of frames.
Assuming 100 frames per second, the alignments represent 0.1 hours of data, or 0.0 hours if sil frames are excluded.
