# build-tree --verbose=1 --max-leaves=1800 --cluster-thresh=-1 exp/tri3b/treeacc data/lang/phones/roots.int exp/tri3b/questions.qst data/lang/topo exp/tri3b/tree 
# Started at Mon Jul  4 16:15:28 BRT 2016
#
build-tree --verbose=1 --max-leaves=1800 --cluster-thresh=-1 exp/tri3b/treeacc data/lang/phones/roots.int exp/tri3b/questions.qst data/lang/topo exp/tri3b/tree 
LOG (build-tree:main():build-tree.cc:100) Number of separate statistics is 6101
LOG (build-tree:BuildTree():build-tree.cc:159) BuildTree: before building trees, map has 46 leaves.
LOG (build-tree:SplitDecisionTree():build-tree-utils.cc:577) DoDecisionTreeSplit: split 1754 times, #leaves now 1800
LOG (build-tree:BuildTree():build-tree.cc:185) Setting clustering threshold to smallest split 326.934
VLOG[1] (build-tree:BuildTree():build-tree.cc:194) After decision tree split, num-leaves = 1800, like-impr = 8.57695 per frame over 308780 frames.
VLOG[1] (build-tree:BuildTree():build-tree.cc:198) Including just phones that were split, improvement is 8.57695 per frame over 308780 frames.
LOG (build-tree:BuildTree():build-tree.cc:213) BuildTree: removed 326 leaves.
VLOG[1] (build-tree:BuildTree():build-tree.cc:220) Objf change due to clustering -0.251062 per frame.
VLOG[1] (build-tree:BuildTree():build-tree.cc:223) Normalizing over only split phones, this is: -0.251062 per frame.
VLOG[1] (build-tree:BuildTree():build-tree.cc:226) Num-leaves is now 1474
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 1, low count 37
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 2, low count 64
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 3, low count 36
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 4, low count 66
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 5, low count 35
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 6, low count 0
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 8, low count 43
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 18, low count 15
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 19, low count 39
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 23, low count 59
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 25, low count 95
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 27, low count 62
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 28, low count 35
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 29, low count 23
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 31, low count 0
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 33, low count 90
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 39, low count 33
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 40, low count 99
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 42, low count 89
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 43, low count 0
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 51, low count 83
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 55, low count 95
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 57, low count 59
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 62, low count 19
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 64, low count 47
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 66, low count 76
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 67, low count 61
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 68, low count 92
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 69, low count 66
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 71, low count 85
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 74, low count 64
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 75, low count 56
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 77, low count 37
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 78, low count 97
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 81, low count 92
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 83, low count 55
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 86, low count 89
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 90, low count 59
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 91, low count 27
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 93, low count 90
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 94, low count 97
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 95, low count 91
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 97, low count 45
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 98, low count 90
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 99, low count 90
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 100, low count 33
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 102, low count 56
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 105, low count 82
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 107, low count 82
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 108, low count 51
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 110, low count 83
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 111, low count 31
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 112, low count 89
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 113, low count 59
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 114, low count 65
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 117, low count 83
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 120, low count 31
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 121, low count 71
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 123, low count 38
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 124, low count 88
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 125, low count 43
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 127, low count 30
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 128, low count 35
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 129, low count 85
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 131, low count 69
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 133, low count 23
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 134, low count 88
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 135, low count 53
VLOG[1] (build-tree:main():build-tree.cc:138) For pdf-id 136, low count 20
