# gunzip -c exp/tri3b_ali/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Mon Jul  4 16:20:40 BRT 2016
#
At utterance begin, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (138,139.3,190) frames.
At utterance end, sil accounts for 84.8% of phone occurrences, with duration (median, mean, 95-percentile) is (35,41.8,88) frames.
At utterance end, nonsilence accounts for 15.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,11.7,26) frames.
At utterance end, s_E accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (12,15.6,22) frames.
At utterance end, u_E accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,5.8,8) frames.
At utterance end, a_E accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance end, o_E accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,16.8,18) frames.
At utterance end, i_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.7,3) frames.
At utterance end, al_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (22,23.0,22) frames.
Overall, nonsilence accounts for 87.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.0,21) frames.
Overall, sil accounts for 12.2% of phone occurrences, with duration (median, mean, 95-percentile) is (53,59.7,139) frames.
Overall, a_I accounts for 8.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.5,17) frames.
Overall, i_I accounts for 6.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.7,13) frames.
Overall, r_I accounts for 4.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.8,10) frames.
Overall, e_I accounts for 4.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,15) frames.
Overall, o_I accounts for 4.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.6,19) frames.
Overall, a_E accounts for 3.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.9,20) frames.
Overall, s_I accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.4,20) frames.
Overall, k_I accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.5,11) frames.
Overall, t_I accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,13) frames.
Overall, l_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.2,14) frames.
Overall, d_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.3,12) frames.
Overall, u_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.4,12) frames.
Overall, p_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.8,11) frames.
Overall, u_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.1,19) frames.
Overall, y_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.8,17) frames.
Overall, k_B accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.9,12) frames.
Overall, dj_I accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.6,13) frames.
Overall, s_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (26,26.3,34) frames.
Overall, m_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.8,11) frames.
Overall, n_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,12) frames.
Overall, p_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.1,8) frames.
